city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Pindamonhangaba,Pindamonhangaba,-22.92,-45.47,Brazil,BR,BRA,São Paulo,,132218.0,1076937468
Jaraguá do Sul,Jaragua do Sul,-26.48,-49.1,Brazil,BR,BRA,Santa Catarina,,130130.0,1076588128
Bragança Paulista,Braganca Paulista,-22.95,-46.55,Brazil,BR,BRA,São Paulo,,127676.0,1076245528
Itapetininga,Itapetininga,-23.59,-48.04,Brazil,BR,BRA,São Paulo,,126243.0,1076425970
Alagoinhas,Alagoinhas,-12.14,-38.43,Brazil,BR,BRA,Bahia,,124070.0,1076155953
Uruguaiana,Uruguaiana,-29.7696,-57.09,Brazil,BR,BRA,Rio Grande do Sul,,123480.0,1076680267
Pôrto Seguro,Porto Seguro,-16.4296,-39.08,Brazil,BR,BRA,Bahia,,123173.0,1076932180
Barbacena,Barbacena,-21.22,-43.77,Brazil,BR,BRA,Minas Gerais,,122211.0,1076877003
Jaú,Jau,-22.2896,-48.57,Brazil,BR,BRA,São Paulo,,119206.0,1076312559
Pouso Alegre,Pouso Alegre,-22.22,-45.94,Brazil,BR,BRA,Minas Gerais,,115201.0,1076082333
Botucatu,Botucatu,-22.8796,-48.45,Brazil,BR,BRA,São Paulo,,113862.0,1076113865
Santa Cruz do Sul,Santa Cruz do Sul,-29.71,-52.44,Brazil,BR,BRA,Rio Grande do Sul,,113625.0,1076862896
Conselheiro Lafaiete,Conselheiro Lafaiete,-20.67,-43.79,Brazil,BR,BRA,Minas Gerais,,111596.0,1076456009
Garanhuns,Garanhuns,-8.89,-36.5,Brazil,BR,BRA,Pernambuco,,110085.0,1076673653
Catanduva,Catanduva,-21.14,-48.98,Brazil,BR,BRA,São Paulo,,109612.0,1076772178
Apucarana,Apucarana,-23.55,-51.47,Brazil,BR,BRA,Paraná,,107085.0,1076256387
Bagé,Bage,-31.32,-54.1,Brazil,BR,BRA,Rio Grande do Sul,,106098.0,1076515015
Linhares,Linhares,-19.39,-40.05,Brazil,BR,BRA,Espírito Santo,,105075.0,1076355611
Barretos,Barretos,-20.55,-48.58,Brazil,BR,BRA,São Paulo,,101220.0,1076042195
Teófilo Otoni,Teofilo Otoni,-17.87,-41.5,Brazil,BR,BRA,Minas Gerais,,101170.0,1076465745
Passos,Passos,-20.71,-46.61,Brazil,BR,BRA,Minas Gerais,,98752.0,1076782492
Ubá,Uba,-21.1196,-42.95,Brazil,BR,BRA,Minas Gerais,,97828.0,1076389529
Ourinhos,Ourinhos,-22.97,-49.87,Brazil,BR,BRA,São Paulo,,97799.0,1076551408
