city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Coroatá,Coroata,-4.1296,-44.15,Brazil,BR,BRA,Maranhão,,34129.0,1076890180
Capitão Poço,Capitao Poco,-1.7496,-47.09,Brazil,BR,BRA,Pará,,32704.0,1076870027
Maués,Maues,-3.3896,-57.72,Brazil,BR,BRA,Amazonas,,32561.0,1076490155
Paranaíba,Paranaiba,-19.6796,-51.2,Brazil,BR,BRA,Mato Grosso do Sul,,32217.0,1076355277
Bocaiúva,Bocaiuva,-17.1096,-43.81,Brazil,BR,BRA,Minas Gerais,,32114.0,1076639320
São Luís Gonzaga,Sao Luis Gonzaga,-28.41,-54.96,Brazil,BR,BRA,Rio Grande do Sul,,31798.0,1076320357
Campo Maior,Campo Maior,-4.82,-42.18,Brazil,BR,BRA,Piauí,,31739.0,1076002814
Jacareacanga,Jacareacanga,-6.2666,-57.65,Brazil,BR,BRA,Pará,,31661.0,1076980493
Barra do Bugres,Barra do Bugres,-15.0696,-57.19,Brazil,BR,BRA,Mato Grosso,,31311.0,1076717726
Tucano,Tucano,-10.9696,-38.79,Brazil,BR,BRA,Bahia,,31203.0,1076227914
Presidente Dutra,Presidente Dutra,-5.25,-44.52,Brazil,BR,BRA,Alagoas,,30330.0,1076660845
Grajaú,Grajau,-5.81,-46.15,Brazil,BR,BRA,Maranhão,,30217.0,1076344134
Novo Horizonte,Novo Horizonte,-21.4596,-49.22,Brazil,BR,BRA,São Paulo,,30158.0,1076842025
Iturama,Iturama,-19.73,-50.2,Brazil,BR,BRA,Minas Gerais,,29805.0,1076049375
Jaguarão,Jaguarao,-32.56,-53.37,Brazil,BR,BRA,Rio Grande do Sul,,29613.0,1076878261
Pontes e Lacerda,Pontes e Lacerda,-15.2196,-59.35,Brazil,BR,BRA,Mato Grosso,,29381.0,1076490162
Almenara,Almenara,-16.17,-40.7,Brazil,BR,BRA,Minas Gerais,,29333.0,1076953924
Tauá,Taua,-5.9995,-40.31,Brazil,BR,BRA,Ceará,,29188.0,1076825475
Acaraú,Acarau,-2.8896,-40.12,Brazil,BR,BRA,Ceará,,28389.0,1076016462
Ubaitaba,Ubaitaba,-14.3,-39.33,Brazil,BR,BRA,Bahia,,28375.0,1076532739
Icó,Ico,-6.4,-38.85,Brazil,BR,BRA,Ceará,,28323.0,1076569458
Iporá,Ipora,-16.45,-51.13,Brazil,BR,BRA,Goiás,,28254.0,1076392298
Santa Cruz,Santa Cruz,-6.22,-36.03,Brazil,BR,BRA,Rio Grande do Norte,,27775.0,1076706078
Santa Vitória do Palmar,Santa Vitoria do Palmar,-33.52,-53.37,Brazil,BR,BRA,Rio Grande do Sul,,27775.0,1076114405
Óbidos,Obidos,-1.91,-55.52,Brazil,BR,BRA,Pará,,27587.0,1076197849
Niquelândia,Niquelandia,-14.4696,-48.47,Brazil,BR,BRA,Goiás,,27541.0,1076682103
Colíder,Colider,-10.8173,-55.4506,Brazil,BR,BRA,Mato Grosso,,27139.0,1076780919
Conceição do Araguaia,Conceicao do Araguaia,-8.25,-49.29,Brazil,BR,BRA,Pará,,27115.0,1076224782
Aripuanã,Aripuana,-9.17,-60.64,Brazil,BR,BRA,Mato Grosso,,26983.0,1076078271
Viana,Viana,-3.2096,-45.0,Brazil,BR,BRA,Maranhão,,26689.0,1076423280
Miracema,Miracema,-21.41,-42.2,Brazil,BR,BRA,Rio de Janeiro,,26684.0,1076359191
Ipu,Ipu,-4.3196,-40.7201,Brazil,BR,BRA,Ceará,,26678.0,1076972725
Canavieiras,Canavieiras,-15.64,-38.96,Brazil,BR,BRA,Bahia,,26375.0,1076258532
Alenquer,Alenquer,-1.9396,-54.79,Brazil,BR,BRA,Pará,,26290.0,1076529970
Sena Madureira,Sena Madureira,-9.07,-68.67,Brazil,BR,BRA,Acre,,26192.0,1076899075
Granja,Granja,-3.1195,-40.84,Brazil,BR,BRA,Ceará,,25879.0,1076052166
Pimenta Bueno,Pimenta Bueno,-11.64,-61.21,Brazil,BR,BRA,Rondônia,,25762.0,1076267246
Lapa,Lapa,-25.76,-49.73,Brazil,BR,BRA,Paraná,,25621.0,1076904800
São Lourenço do Sul,Sao Lourenco do Sul,-31.37,-51.98,Brazil,BR,BRA,Rio Grande do Sul,,25340.0,1076758883
Colinas,Colinas,-6.0395,-44.24,Brazil,BR,BRA,Maranhão,,25158.0,1076657010
Pires do Rio,Pires do Rio,-17.2995,-48.28,Brazil,BR,BRA,Goiás,,24822.0,1076357135
Rolim de Moura,Rolim de Moura,-11.7302,-61.7806,Brazil,BR,BRA,Rondônia,,24516.0,1076556836
Iguape,Iguape,-24.72,-47.5699,Brazil,BR,BRA,São Paulo,,23784.0,1076144584
Jardim,Jardim,-21.4799,-56.15,Brazil,BR,BRA,Mato Grosso do Sul,,23780.0,1076077588
Guanhães,Guanhaes,-18.78,-42.95,Brazil,BR,BRA,Minas Gerais,,23727.0,1076235295
Itambé,Itambe,-15.2396,-40.63,Brazil,BR,BRA,Bahia,,23558.0,1076307665
Santa Maria da Vitória,Santa Maria da Vitoria,-13.39,-44.21,Brazil,BR,BRA,Bahia,,23488.0,1076607443
Quaraí,Quarai,-30.38,-56.4599,Brazil,BR,BRA,Rio Grande do Sul,,23229.0,1076203994
Nova Cruz,Nova Cruz,-6.4696,-35.44,Brazil,BR,BRA,Rio Grande do Norte,,23166.0,1076169350
Maracaju,Maracaju,-21.61,-55.18,Brazil,BR,BRA,Mato Grosso do Sul,,22690.0,1076548335
Baturité,Baturite,-4.3296,-38.88,Brazil,BR,BRA,Ceará,,22417.0,1076144455
Itaberaí,Itaberai,-16.02,-49.81,Brazil,BR,BRA,Goiás,,22129.0,1076044452
Araçuaí,Aracuai,-16.8596,-42.0699,Brazil,BR,BRA,Minas Gerais,,22005.0,1076501078
Eirunepé,Eirunepe,-6.66,-69.8738,Brazil,BR,BRA,Amazonas,,21750.0,1076884388
Barras,Barras,-4.25,-42.3,Brazil,BR,BRA,Piauí,,21597.0,1076766658
Manicoré,Manicore,-5.8122,-61.2975,Brazil,BR,BRA,Amazonas,,21549.0,1076657983
Portel,Portel,-1.95,-50.82,Brazil,BR,BRA,Pará,,21315.0,1076977846
Itupiranga,Itupiranga,-5.12,-49.3,Brazil,BR,BRA,Pará,,21301.0,1076086545
Paracuru,Paracuru,-3.3995,-39.04,Brazil,BR,BRA,Ceará,,21196.0,1076591278
Santa Cruz Cabrália,Santa Cruz Cabralia,-16.28,-39.03,Brazil,BR,BRA,Bahia,,19545.0,1076118882
Viseu,Viseu,-1.1965,-46.14,Brazil,BR,BRA,Pará,,18958.0,1076429547
Ceres,Ceres,-15.3033,-49.6052,Brazil,BR,BRA,Goiás,,18759.0,1076087042
Apodi,Apodi,-5.65,-37.8,Brazil,BR,BRA,Rio Grande do Norte,,16757.0,1076092856
Fonte Boa,Fonte Boa,-2.5138,-66.0916,Brazil,BR,BRA,Amazonas,,16060.0,1076851330
São Gabriel da Cachoeira,Sao Gabriel da Cachoeira,-0.1332,-67.0833,Brazil,BR,BRA,Amazonas,,15231.0,1076863074
Pedreiras,Pedreiras,-4.5696,-44.67,Brazil,BR,BRA,Maranhão,,13638.0,1076527878
Barcelos,Barcelos,-0.975,-62.9239,Brazil,BR,BRA,Amazonas,,12584.0,1076105080
Caracaraí,Caracarai,1.8162,-61.1277,Brazil,BR,BRA,Roraima,,11368.0,1076314585
Alvorada,Alvorada,-12.47,-49.082,Brazil,BR,BRA,Tocantins,,10232.0,1076121080
Porto Nacional,Porto Nacional,-10.7,-48.4199,Brazil,BR,BRA,Tocantins,,9129.0,1076043090
Novo Airão,Novo Airao,-2.6208,-60.9438,Brazil,BR,BRA,Amazonas,,9049.0,1076092136
Sinop,Sinop,-11.85,-55.46,Brazil,BR,BRA,Mato Grosso,,8961.0,1076876295
Tocantinópolis,Tocantinopolis,-6.3196,-47.42,Brazil,BR,BRA,Tocantins,,8750.0,1076917053
Rosário,Rosario,-2.94,-44.26,Brazil,BR,BRA,Maranhão,,6798.0,1076804900
Tonantins,Tonantins,-2.8727,-67.8019,Brazil,BR,BRA,Amazonas,,4561.0,1076820908
Xinguara,Xinguara,-7.1006,-49.948,Brazil,BR,BRA,Pará,,4047.0,1076290442
Amapá,Amapa,2.05,-50.8,Brazil,BR,BRA,Amapá,,1947.0,1076834242
Abunã,Abuna,-9.6954,-65.3597,Brazil,BR,BRA,Rondônia,,1929.0,1076632448
Vila Bela da Santíssima Trindade,Vila Bela da Santissima Trindade,-15.0,-59.95,Brazil,BR,BRA,Mato Grosso,,1612.0,1076493823
Príncipe da Beira,Principe da Beira,-12.4167,-64.4166,Brazil,BR,BRA,Rondônia,,956.0,1076482734
